LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AU,HUR,TOT,PC_LF,M,2021-07,4.709782,
AU,HUR,TOT,PC_LF,M,2021-08,4.56434,
AU,HUR,TOT,PC_LF,M,2021-09,4.66769,
AU,HUR,TOT,PC_LF,M,2021-10,5.256564,
AU,HUR,TOT,PC_LF,M,2021-11,4.607302,
AU,HUR,TOT,PC_LF,M,2021-12,4.178392,
AU,HUR,TOT,PC_LF,M,2022-01,4.160457,
AU,HUR,TOT,PC_LF,M,2022-02,4.010378,
AU,HUR,TOT,PC_LF,M,2022-03,3.935643,
AU,HUR,TOT,PC_LF,M,2022-04,3.856575,
AU,HUR,TOT,PC_LF,M,2022-05,3.894713,
AU,HUR,TOT,PC_LF,M,2022-06,3.57061,
AU,HUR,TOT,PC_LF,M,2022-07,3.458329,
AU,HUR,TOT,PC_LF,M,2022-08,3.509443,
AU,HUR,TOT,PC_LF,M,2022-09,3.568211,
AU,HUR,TOT,PC_LF,M,2022-10,3.430133,
AU,HUR,TOT,PC_LF,M,2022-11,3.470103,
AU,HUR,TOT,PC_LF,M,2022-12,3.528264,
AU,HUR,TOT,PC_LF,M,2023-01,3.672163,
AU,HUR,TOT,PC_LF,M,2023-02,3.551549,
AU,HUR,TOT,PC_LF,M,2023-03,3.540055,
AU,HUR,TOT,PC_LF,M,2023-04,3.66414,
AT,HUR,TOT,PC_LF,M,2005-01,5.7,
AT,HUR,TOT,PC_LF,M,2005-02,5.6,
AT,HUR,TOT,PC_LF,M,2005-03,6,
AT,HUR,TOT,PC_LF,M,2005-04,5.9,
AT,HUR,TOT,PC_LF,M,2005-05,6.2,
AT,HUR,TOT,PC_LF,M,2005-06,6.2,
AT,HUR,TOT,PC_LF,M,2005-07,6.4,
AT,HUR,TOT,PC_LF,M,2005-08,5.9,
AT,HUR,TOT,PC_LF,M,2005-09,6.1,
AT,HUR,TOT,PC_LF,M,2005-10,6.4,
AT,HUR,TOT,PC_LF,M,2005-11,6.2,
AT,HUR,TOT,PC_LF,M,2005-12,5.8,
AT,HUR,TOT,PC_LF,M,2006-01,6.1,
AT,HUR,TOT,PC_LF,M,2006-02,5.9,
AT,HUR,TOT,PC_LF,M,2006-03,6.1,
AT,HUR,TOT,PC_LF,M,2006-04,5.7,
AT,HUR,TOT,PC_LF,M,2006-05,5.2,
AT,HUR,TOT,PC_LF,M,2006-06,6.1,
AT,HUR,TOT,PC_LF,M,2006-07,5.8,
AT,HUR,TOT,PC_LF,M,2006-08,5.1,
AT,HUR,TOT,PC_LF,M,2006-09,5.3,
AT,HUR,TOT,PC_LF,M,2006-10,5.3,
AT,HUR,TOT,PC_LF,M,2006-11,5.2,
AT,HUR,TOT,PC_LF,M,2006-12,5.5,
AT,HUR,TOT,PC_LF,M,2007-01,5.1,
AT,HUR,TOT,PC_LF,M,2007-02,5.4,
AT,HUR,TOT,PC_LF,M,2007-03,5.1,
AT,HUR,TOT,PC_LF,M,2007-04,5.6,
AT,HUR,TOT,PC_LF,M,2007-05,5.6,
AT,HUR,TOT,PC_LF,M,2007-06,5.2,
AT,HUR,TOT,PC_LF,M,2007-07,5.6,
AT,HUR,TOT,PC_LF,M,2007-08,5.6,
AT,HUR,TOT,PC_LF,M,2007-09,4.8,
AT,HUR,TOT,PC_LF,M,2007-10,5,
AT,HUR,TOT,PC_LF,M,2007-11,5,
AT,HUR,TOT,PC_LF,M,2007-12,4.4,
AT,HUR,TOT,PC_LF,M,2008-01,4.5,
AT,HUR,TOT,PC_LF,M,2008-02,4.6,
AT,HUR,TOT,PC_LF,M,2008-03,4.5,
AT,HUR,TOT,PC_LF,M,2008-04,4,
AT,HUR,TOT,PC_LF,M,2008-05,4.2,
AT,HUR,TOT,PC_LF,M,2008-06,3.9,
AT,HUR,TOT,PC_LF,M,2008-07,4.3,
AT,HUR,TOT,PC_LF,M,2008-08,4.9,
AT,HUR,TOT,PC_LF,M,2008-09,4.2,
AT,HUR,TOT,PC_LF,M,2008-10,4.3,
AT,HUR,TOT,PC_LF,M,2008-11,4.8,
AT,HUR,TOT,PC_LF,M,2008-12,5.1,
AT,HUR,TOT,PC_LF,M,2009-01,5,
AT,HUR,TOT,PC_LF,M,2009-02,4.9,
AT,HUR,TOT,PC_LF,M,2009-03,5.2,
AT,HUR,TOT,PC_LF,M,2009-04,5.8,
AT,HUR,TOT,PC_LF,M,2009-05,5.5,
AT,HUR,TOT,PC_LF,M,2009-06,5.8,
AT,HUR,TOT,PC_LF,M,2009-07,6.4,
AT,HUR,TOT,PC_LF,M,2009-08,5.9,
AT,HUR,TOT,PC_LF,M,2009-09,6.5,
AT,HUR,TOT,PC_LF,M,2009-10,5.7,
AT,HUR,TOT,PC_LF,M,2009-11,6.2,
AT,HUR,TOT,PC_LF,M,2009-12,5.5,
AT,HUR,TOT,PC_LF,M,2010-01,5,
AT,HUR,TOT,PC_LF,M,2010-02,5.3,
AT,HUR,TOT,PC_LF,M,2010-03,5.6,
AT,HUR,TOT,PC_LF,M,2010-04,5.4,
AT,HUR,TOT,PC_LF,M,2010-05,5.2,
AT,HUR,TOT,PC_LF,M,2010-06,5.4,
AT,HUR,TOT,PC_LF,M,2010-07,5.3,
AT,HUR,TOT,PC_LF,M,2010-08,5.1,
AT,HUR,TOT,PC_LF,M,2010-09,5.3,
AT,HUR,TOT,PC_LF,M,2010-10,5.1,
AT,HUR,TOT,PC_LF,M,2010-11,4.7,
AT,HUR,TOT,PC_LF,M,2010-12,4.7,
AT,HUR,TOT,PC_LF,M,2011-01,4.9,
AT,HUR,TOT,PC_LF,M,2011-02,5.6,
AT,HUR,TOT,PC_LF,M,2011-03,4.8,
AT,HUR,TOT,PC_LF,M,2011-04,4.9,
AT,HUR,TOT,PC_LF,M,2011-05,5,
AT,HUR,TOT,PC_LF,M,2011-06,4.5,
AT,HUR,TOT,PC_LF,M,2011-07,4.5,
AT,HUR,TOT,PC_LF,M,2011-08,4.4,
AT,HUR,TOT,PC_LF,M,2011-09,4.4,
AT,HUR,TOT,PC_LF,M,2011-10,5.2,
AT,HUR,TOT,PC_LF,M,2011-11,5.4,
AT,HUR,TOT,PC_LF,M,2011-12,5.1,
AT,HUR,TOT,PC_LF,M,2012-01,4.4,
AT,HUR,TOT,PC_LF,M,2012-02,5.3,
AT,HUR,TOT,PC_LF,M,2012-03,4.7,
AT,HUR,TOT,PC_LF,M,2012-04,4.9,
AT,HUR,TOT,PC_LF,M,2012-05,5.2,
AT,HUR,TOT,PC_LF,M,2012-06,5.5,
AT,HUR,TOT,PC_LF,M,2012-07,5.5,
AT,HUR,TOT,PC_LF,M,2012-08,5.7,
AT,HUR,TOT,PC_LF,M,2012-09,5.6,
AT,HUR,TOT,PC_LF,M,2012-10,5.3,
AT,HUR,TOT,PC_LF,M,2012-11,5.5,
AT,HUR,TOT,PC_LF,M,2012-12,5.3,
AT,HUR,TOT,PC_LF,M,2013-01,5.9,
AT,HUR,TOT,PC_LF,M,2013-02,5.5,
AT,HUR,TOT,PC_LF,M,2013-03,5.9,
AT,HUR,TOT,PC_LF,M,2013-04,5.4,
AT,HUR,TOT,PC_LF,M,2013-05,5.4,
AT,HUR,TOT,PC_LF,M,2013-06,5.4,
AT,HUR,TOT,PC_LF,M,2013-07,6,
AT,HUR,TOT,PC_LF,M,2013-08,5.7,
AT,HUR,TOT,PC_LF,M,2013-09,5.9,
AT,HUR,TOT,PC_LF,M,2013-10,5.8,
AT,HUR,TOT,PC_LF,M,2013-11,6,
AT,HUR,TOT,PC_LF,M,2013-12,5.8,
AT,HUR,TOT,PC_LF,M,2014-01,6.3,
AT,HUR,TOT,PC_LF,M,2014-02,5.7,
AT,HUR,TOT,PC_LF,M,2014-03,6.2,
AT,HUR,TOT,PC_LF,M,2014-04,5.5,
AT,HUR,TOT,PC_LF,M,2014-05,5.6,
AT,HUR,TOT,PC_LF,M,2014-06,6.5,
AT,HUR,TOT,PC_LF,M,2014-07,6.3,
AT,HUR,TOT,PC_LF,M,2014-08,5.8,
AT,HUR,TOT,PC_LF,M,2014-09,6.3,
AT,HUR,TOT,PC_LF,M,2014-10,6.1,
AT,HUR,TOT,PC_LF,M,2014-11,6.1,
AT,HUR,TOT,PC_LF,M,2014-12,6.2,
AT,HUR,TOT,PC_LF,M,2015-01,5.8,
AT,HUR,TOT,PC_LF,M,2015-02,5.8,
AT,HUR,TOT,PC_LF,M,2015-03,6.1,
AT,HUR,TOT,PC_LF,M,2015-04,6.2,
AT,HUR,TOT,PC_LF,M,2015-05,6.3,
AT,HUR,TOT,PC_LF,M,2015-06,6.3,
AT,HUR,TOT,PC_LF,M,2015-07,6.2,
AT,HUR,TOT,PC_LF,M,2015-08,6,
